Gene_Names,Gene_ID,Avg_Count
adcyap1a,LL0000000321,43
adcyap1b,LL0000000322,31
add1,LL0000000324,2485
add2,LL0000000325,71
add3a,LL0000000326,1443
add3b,LL0000000327,7
adgb,LL0000000328,3
adgra1a,LL0000000329,13
adgra2,LL0000000330,442
adgra3,LL0000000331,974
adgrb1a,LL0000000332,76
adgrb1b,LL0000000333,92
adgrb2,LL0000000334,40
adgrb3,LL0000000335,87
adgrd1,LL0000000336,19
adgrd2,LL0000000337,21
adgre10,LL0000000338,39
adgre13,LL0000000339,0
adgre14,LL0000000340,0
adgre15,LL0000000341,0
adgre16,LL0000000342,0
adgre17,LL0000000343,0
adgre19,LL0000000344,0
adgre5a,LL0000000345,0
adgre5b.2,LL0000000346,19
adgre5b.3,LL0000000347,1174
adgre7,LL0000000348,0
adgre8,LL0000000349,1
adgre9,LL0000000350,1
adgrf11,LL0000000351,0
adgrf3a,LL0000000352,0
adgrf3b,LL0000000353,83
adgrf6,LL0000000354,52
adgrf7,LL0000000355,12
adgrf8,LL0000000356,32
adgrg1,LL0000000357,2084
adgrg11,LL0000000358,0
adgrg2a,LL0000000359,22
adgrg3,LL0000000360,10
adgrg4a,LL0000000361,20
adgrg4b,LL0000000362,6
adgrg6,LL0000000363,259
adgrg7.1,LL0000000364,0
adgrg7.2,LL0000000365,0
adgrl1.1,LL0000000366,15
adgrl1a,LL0000000367,44
adgrl2a,LL0000000368,613
adgrl2b.1,LL0000000369,0
ADGRL3,LL0000000370,98
adgrl3.1,LL0000000371,86
adgrl4,LL0000000372,11
adgrv1,LL0000000373,227
adh5,LL0000000374,2753
adh8a,LL0000000375,25
adh8b,LL0000000376,3102
adhfe1,LL0000000377,904
adi1,LL0000000378,874
adipoqa,LL0000000379,0
adipoqb,LL0000000380,0
adipor1a,LL0000000381,1578
adipor1b,LL0000000382,744
adipor2,LL0000000383,3033
adka,LL0000000384,1530
adkb,LL0000000385,1143
adm2a,LL0000000386,673
adm2b,LL0000000387,0
adma,LL0000000388,1119
admb,LL0000000389,406
admp,LL0000000390,0
adnp2a,LL0000000391,618
adnp2b,LL0000000392,2177
adnpa,LL0000000393,1997
adnpb,LL0000000394,195
adoa,LL0000000395,222
adob,LL0000000396,319
adora1a,LL0000000397,6
adora1b,LL0000000398,9
adora2aa,LL0000000399,190
adora2ab,LL0000000400,40
adora2b,LL0000000401,887
adpgk,LL0000000402,631
adpgk2,LL0000000403,379
adprh,LL0000000404,140
adprhl1,LL0000000405,8
adprhl2,LL0000000406,200
adprm,LL0000000407,304
adra1aa,LL0000000408,2
adra1ab,LL0000000409,2
adra1ba,LL0000000410,264
adra1bb,LL0000000411,0
adra1d,LL0000000412,69
adra2a,LL0000000413,42
adra2b,LL0000000414,12
adra2c,LL0000000415,22
adra2da,LL0000000416,34
adra2db,LL0000000417,0
adrb1,LL0000000418,9
adrb2a,LL0000000419,203
adrb2b,LL0000000420,1
adrb3a,LL0000000421,131
adrb3b,LL0000000422,0
adrm1,LL0000000423,1395
adsl,LL0000000424,1082
adss,LL0000000425,920
adssl,LL0000000426,1292
adssl1,LL0000000427,253
adtrp1,LL0000000428,201
aebp1,LL0000000429,190
aebp2,LL0000000430,1184
aep1,LL0000000431,105712
aes,LL0000000432,132
afap1,LL0000000433,2519
afap1l1a,LL0000000434,1073
afap1l1b,LL0000000435,34
afap1l2,LL0000000436,354
afdna,LL0000000437,904
aff1,LL0000000438,9
aff2,LL0000000439,262
aff3,LL0000000440,640
aff4,LL0000000441,544
afg1la,LL0000000442,126
afg1lb,LL0000000443,65
afg3l2,LL0000000444,1104
