Gene_Names,Gene_ID,Avg_Count
aep1,LL0000000431,63313
aes,LL0000000432,261
afap1,LL0000000433,2504
afap1l1a,LL0000000434,948
afap1l1b,LL0000000435,148
afap1l2,LL0000000436,1261
afdna,LL0000000437,766
aff1,LL0000000438,8
aff2,LL0000000439,394
aff3,LL0000000440,2011
aff4,LL0000000441,765
afg1la,LL0000000442,138
afg1lb,LL0000000443,59
afg3l2,LL0000000444,1209
afmid,LL0000000445,145
afp4,LL0000000446,10
aftpha,LL0000000447,895
aftphb,LL0000000448,515
aga,LL0000000449,435
agap1,LL0000000450,2135
agap2,LL0000000451,55
agap3,LL0000000452,2356
AGBL1,LL0000000453,5
agbl2,LL0000000454,64
agbl4,LL0000000455,9
agbl5,LL0000000456,765
agfg1a,LL0000000457,884
agfg1b,LL0000000458,656
aggf1,LL0000000459,361
agk,LL0000000460,773
agla,LL0000000461,1561
aglb,LL0000000462,25
agmat,LL0000000463,38
agmo,LL0000000464,242
ago1,LL0000000465,313
ago2,LL0000000466,1229
ago3a,LL0000000467,778
ago3b,LL0000000468,1770
ago4,LL0000000469,677
agpat2,LL0000000470,694
agpat3,LL0000000471,7023
agpat4,LL0000000472,1340
agpat5,LL0000000473,1447
agpat9l,LL0000000474,1527
agps,LL0000000475,733
agr1,LL0000000476,2262
agr2,LL0000000477,9059
agrn,LL0000000478,13154
agrp,LL0000000479,66
agt,LL0000000480,5
agtpbp1,LL0000000481,210
agtr1a,LL0000000482,9
agtr1b,LL0000000483,75
agtr2,LL0000000484,732
agtrap,LL0000000485,9
agxt2,LL0000000486,1465
agxta,LL0000000487,53
agxtb,LL0000000488,61
ahctf1,LL0000000489,2016
ahcy,LL0000000490,7276
ahcyl1,LL0000000491,2584
ahcyl2,LL0000000492,2574
ahdc1,LL0000000493,276
ahi1,LL0000000494,395
ahnak,LL0000000495,14402
ahr1a,LL0000000496,12
ahr1b,LL0000000497,18
ahr2,LL0000000498,6378
ahrra,LL0000000499,8
ahrrb,LL0000000500,0
ahsa1a,LL0000000501,16
ahsa1b,LL0000000502,874
ahsg1,LL0000000503,0
ahsg2,LL0000000504,0
aicda,LL0000000505,0
aida,LL0000000506,947
aif1l,LL0000000507,238
aifm1,LL0000000508,2582
aifm2,LL0000000509,2615
aifm3,LL0000000510,12
aifm4,LL0000000511,571
aifm5,LL0000000512,3
aig1,LL0000000513,16
aimp1,LL0000000514,1034
aimp2,LL0000000515,1266
aip,LL0000000516,2807
aipl1,LL0000000517,16
aipl2,LL0000000518,48
aire,LL0000000519,8
ajap1,LL0000000520,21
ajuba,LL0000000521,6394
ak1,LL0000000522,5465
ak2,LL0000000523,2582
ak3,LL0000000524,1691
ak4,LL0000000525,1407
ak5,LL0000000526,76
ak5l,LL0000000527,1304
AK6,LL0000000528,582
ak7a,LL0000000529,57
ak7b,LL0000000530,105
ak8,LL0000000531,139
ak9,LL0000000532,123
akap10,LL0000000533,711
akap11,LL0000000534,179
akap12a,LL0000000535,4
akap12b,LL0000000536,8349
akap13,LL0000000537,43
akap17a,LL0000000538,345
akap1a,LL0000000539,0
akap1b,LL0000000540,1315
akap6,LL0000000541,121
akap7,LL0000000542,68
akap8l,LL0000000543,2000
akap9,LL0000000544,2350
akip1,LL0000000545,64
akirin1,LL0000000546,1818
akirin2,LL0000000547,1116
akna,LL0000000548,126
aknad1,LL0000000549,21
akr1a1a,LL0000000550,0
akr1a1b,LL0000000551,677
akr1b1,LL0000000552,175
akr7a3,LL0000000553,659
akt1,LL0000000554,53
akt1s1,LL0000000555,4368
akt2,LL0000000556,2095
akt2l,LL0000000557,1395
akt3a,LL0000000558,75
akt3b,LL0000000559,175
aktip,LL0000000560,2737
AL590134.1,LL0000000561,0
AL590145.1,LL0000000562,1
AL590146.1,LL0000000563,0
AL590149.1,LL0000000564,34
AL590150.1,LL0000000565,10
AL590151.1,LL0000000566,151
AL590151.2,LL0000000567,0
AL590152.1,LL0000000568,0
AL627088.1,LL0000000569,0
AL627126.1,LL0000000570,0
AL627164.1,LL0000000571,0
AL627258.1,LL0000000572,0
AL627305.1,LL0000000573,9
AL627305.2,LL0000000574,0
AL627305.3,LL0000000575,30
AL645691.1,LL0000000576,2
AL645691.2,LL0000000577,72
AL645792.1,LL0000000578,0
